BEY_20090500_60pp.ffh         |        local dir        |             processing failure at:  |  2020-07-24 15:45:35.340884
BEY_20090500_60pp.ffd         |        local dir        |             processing failure at:  |  2020-07-24 15:45:35.341884
BEY_20090500_60pp.csv         |        local dir        |             processing failure at:  |  2020-07-24 15:45:35.342883
BEY_20090600_60pp             |     serv.izmiran.ru     |           ftp download failure at:  |  2020-07-24 15:45:35.387857
BEY_20090600_60pp.ffh         |        local dir        |             processing failure at:  |  2020-07-24 15:45:35.391854
BEY_20090600_60pp.ffd         |        local dir        |             processing failure at:  |  2020-07-24 15:45:35.392853
BEY_20090600_60pp.csv         |        local dir        |             processing failure at:  |  2020-07-24 15:45:35.393852
BEY_20090700_60pp             |     serv.izmiran.ru     |           ftp download failure at:  |  2020-07-24 15:45:35.435849
BEY_20090700_60pp.ffh         |        local dir        |             processing failure at:  |  2020-07-24 15:45:35.440248
BEY_20090700_60pp.ffd         |        local dir        |             processing failure at:  |  2020-07-24 15:45:35.441247
BEY_20090700_60pp.csv         |        local dir        |             processing failure at:  |  2020-07-24 15:45:35.443246
BEY_20090800_60pp             |     serv.izmiran.ru     |           ftp download failure at:  |  2020-07-24 15:45:35.484222
BEY_20090800_60pp.ffh         |        local dir        |             processing failure at:  |  2020-07-24 15:45:35.489218
BEY_20090800_60pp.ffd         |        local dir        |             processing failure at:  |  2020-07-24 15:45:35.490218
BEY_20090800_60pp.csv         |        local dir        |             processing failure at:  |  2020-07-24 15:45:35.492218
BEY_20090900_60pp             |     serv.izmiran.ru     |           ftp download failure at:  |  2020-07-24 15:45:35.533522
BEY_20090900_60pp.ffh         |        local dir        |             processing failure at:  |  2020-07-24 15:45:35.536522
BEY_20090900_60pp.ffd         |        local dir        |             processing failure at:  |  2020-07-24 15:45:35.537519
BEY_20090900_60pp.csv         |        local dir        |             processing failure at:  |  2020-07-24 15:45:35.539519
BEY_20091000_60pp             |     serv.izmiran.ru     |           ftp download failure at:  |  2020-07-24 15:45:35.581493
BEY_20091000_60pp.ffh         |        local dir        |             processing failure at:  |  2020-07-24 15:45:35.585491
